Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,3.906667,4.146667,3.906667,4.013333,2.338548,464063
1996-01-03,4.053333,4.160000,4.053333,4.160000,2.424011,574688
1996-01-04,4.160000,4.240000,4.066667,4.120000,2.400702,456563
1996-01-05,4.133333,4.146667,4.000000,4.040000,2.354086,240000
1996-01-08,4.026667,4.106667,4.026667,4.106667,2.392933,54375
1996-01-09,4.106667,4.106667,4.040000,4.053333,2.361855,97500
1996-01-10,4.026667,4.040000,3.973333,4.000000,2.330779,315938
1996-01-11,3.986667,3.986667,3.920000,3.960000,2.307471,339375
1996-01-12,3.973333,4.000000,3.946667,3.986667,2.323009,256875
1996-01-15,4.000000,4.053333,3.946667,3.960000,2.307471,183750
1996-01-16,3.986667,4.013333,3.946667,4.000000,2.330779,163125
1996-01-17,4.026667,4.066667,3.973333,4.040000,2.354086,4751250
1996-01-18,4.053333,4.053333,3.946667,3.960000,2.307471,1239375
1996-01-19,3.893333,3.973333,3.893333,3.973333,2.315241,472500
1996-01-22,3.946667,3.973333,3.920000,3.960000,2.307471,213750
1996-01-23,3.920000,4.000000,3.893333,3.986667,2.323009,153750
1996-01-24,4.013333,4.066667,3.986667,4.040000,2.354086,193125
1996-01-25,4.026667,4.053333,3.920000,3.920000,2.284164,192188
1996-01-26,3.946667,3.973333,3.933333,3.946667,2.299702,231563
1996-01-29,3.920000,3.946667,3.866667,3.893333,2.268623,296250
1996-01-30,3.866667,3.920000,3.866667,3.906667,2.276394,327188
1996-01-31,3.906667,3.906667,3.866667,3.893333,2.268623,322500
1996-02-01,3.906667,3.960000,3.906667,3.946667,2.299702,337500
1996-02-02,3.960000,3.973333,3.906667,3.906667,2.276394,261563
1996-02-05,3.893333,3.933333,3.893333,3.920000,2.284164,178125
1996-02-06,3.920000,3.986667,3.920000,3.973333,2.315241,160313
1996-02-07,4.000000,4.013333,3.960000,3.986667,2.323009,178125
1996-02-08,3.973333,4.106667,3.960000,4.106667,2.392933,317813
1996-02-09,4.133333,4.253333,4.053333,4.106667,2.392933,345000
1996-02-12,4.093333,4.240000,4.093333,4.240000,2.470624,243750
1996-02-13,4.226667,4.413333,4.226667,4.373333,2.548318,632813
1996-02-14,4.373333,4.400000,4.253333,4.280000,2.493933,331875
1996-02-15,4.266667,4.360000,4.266667,4.280000,2.493933,112500
1996-02-16,4.346667,4.346667,4.213333,4.226667,2.462857,453750
1996-02-20,4.186667,4.226667,4.173333,4.173333,2.431779,275625
1996-02-21,4.213333,4.346667,4.213333,4.253333,2.478394,224063
1996-02-22,4.253333,4.320000,4.240000,4.320000,2.517241,259688
1996-02-23,4.373333,4.386667,4.253333,4.293333,2.501703,359063
1996-02-26,4.266667,4.266667,4.133333,4.146667,2.416240,599063
1996-02-27,4.120000,4.160000,4.053333,4.160000,2.424011,286875
1996-02-28,4.213333,4.253333,4.146667,4.160000,2.424011,659063
1996-02-29,4.133333,4.186667,4.106667,4.173333,2.431779,558750
1996-03-01,4.133333,4.133333,3.986667,4.093333,2.385163,736875
1996-03-04,4.106667,4.360000,4.106667,4.360000,2.540549,791250
1996-03-05,4.293333,4.306667,4.226667,4.306667,2.525537,300938
1996-03-06,4.346667,4.480000,4.320000,4.333333,2.541173,643125
1996-03-07,4.306667,4.306667,4.240000,4.266667,2.502079,192188
1996-03-08,4.266667,4.266667,4.066667,4.066667,2.384795,333750
1996-03-11,4.013333,4.186667,4.000000,4.160000,2.439527,274688
1996-03-12,4.120000,4.146667,4.026667,4.106667,2.408251,232500
1996-03-13,4.093333,4.106667,4.013333,4.066667,2.384795,249375
1996-03-14,4.053333,4.173333,4.026667,4.133333,2.423888,229688
1996-03-15,4.000000,4.053333,4.000000,4.040000,2.369156,834375
1996-03-18,4.080000,4.293333,4.080000,4.240000,2.486440,335625
1996-03-19,4.293333,4.293333,4.066667,4.120000,2.416070,333750
1996-03-20,4.146667,4.186667,4.053333,4.106667,2.408251,141563
1996-03-21,4.133333,4.160000,4.120000,4.146667,2.431709,263438
1996-03-22,4.213333,4.226667,4.146667,4.200000,2.462984,297188
1996-03-25,4.240000,4.306667,4.240000,4.253333,2.494260,167813
1996-03-26,4.226667,4.400000,4.226667,4.400000,2.580270,353438
1996-03-27,4.373333,4.400000,4.360000,4.373333,2.564631,281250
1996-03-28,4.373333,4.413333,4.373333,4.413333,2.588087,289688
1996-03-29,4.413333,4.440000,4.280000,4.280000,2.509898,793125
1996-04-01,4.306667,4.533333,4.253333,4.506667,2.642821,405000
1996-04-02,4.493333,4.493333,4.346667,4.360000,2.556812,193125
1996-04-03,4.360000,4.400000,4.360000,4.400000,2.580270,418125
1996-04-04,4.386667,4.386667,4.320000,4.386667,2.572451,235313
1996-04-08,4.320000,4.320000,4.213333,4.226667,2.478622,216563
1996-04-09,4.173333,4.253333,4.120000,4.240000,2.486440,605625
1996-04-10,4.213333,4.213333,4.080000,4.106667,2.408251,518438
1996-04-11,4.053333,4.080000,4.000000,4.080000,2.392613,427500
1996-04-12,4.066667,4.240000,4.066667,4.066667,2.384795,327188
1996-04-15,4.080000,4.120000,4.040000,4.120000,2.416070,224063
1996-04-16,4.080000,4.106667,4.066667,4.080000,2.392613,438750
1996-04-17,4.053333,4.133333,4.053333,4.133333,2.423888,195000
1996-04-18,4.120000,4.120000,4.026667,4.066667,2.384795,120938
1996-04-19,4.093333,4.093333,4.013333,4.093333,2.400431,395625
1996-04-22,4.093333,4.120000,4.026667,4.040000,2.369156,165000
1996-04-23,4.066667,4.240000,4.066667,4.186667,2.455165,595313
1996-04-24,4.213333,4.213333,4.106667,4.146667,2.431709,394688
1996-04-25,4.106667,4.226667,4.080000,4.226667,2.478622,354375
1996-04-26,4.200000,4.373333,4.160000,4.266667,2.502079,333750
1996-04-29,4.213333,4.213333,4.106667,4.133333,2.423888,116250
1996-04-30,4.106667,4.213333,4.066667,4.213333,2.470803,267188
1996-05-01,4.173333,4.213333,4.160000,4.186667,2.455165,119063
1996-05-02,4.133333,4.133333,4.000000,4.000000,2.345699,275625
1996-05-03,4.013333,4.120000,4.000000,4.120000,2.416070,382500
1996-05-06,4.093333,4.160000,4.000000,4.160000,2.439527,253125
1996-05-07,4.160000,4.200000,4.120000,4.200000,2.462984,240938
1996-05-08,4.133333,4.226667,4.080000,4.226667,2.478622,228750
1996-05-09,4.200000,4.240000,4.133333,4.173333,2.447346,135938
1996-05-10,4.213333,4.266667,4.186667,4.266667,2.502079,156563
1996-05-13,4.266667,4.293333,4.213333,4.293333,2.517717,171563
1996-05-14,4.293333,4.320000,4.266667,4.280000,2.509898,140625
1996-05-15,4.253333,4.346667,4.253333,4.320000,2.533355,243750
1996-05-16,4.320000,4.346667,4.293333,4.333333,2.541173,458438
1996-05-17,4.400000,4.506667,4.400000,4.453333,2.611546,596250
1996-05-20,4.453333,4.453333,4.360000,4.413333,2.588087,202500
1996-05-21,4.413333,4.453333,4.400000,4.413333,2.588087,256875
1996-05-22,4.413333,4.480000,4.373333,4.480000,2.627182,449063
1996-05-23,4.480000,4.480000,4.346667,4.373333,2.564631,271875
1996-05-24,4.400000,4.453333,4.373333,4.400000,2.580270,193125
1996-05-28,4.440000,4.440000,4.240000,4.240000,2.486440,442500
1996-05-29,4.240000,4.240000,4.173333,4.186667,2.455165,490313
1996-05-30,4.213333,4.426667,4.146667,4.346667,2.548992,305625
1996-05-31,4.333333,4.333333,4.213333,4.333333,2.541173,243750
1996-06-03,4.306667,4.306667,4.133333,4.133333,2.423888,238125
1996-06-04,4.146667,4.213333,4.146667,4.200000,2.462984,439688
1996-06-05,4.186667,4.266667,4.186667,4.266667,2.502079,116250
1996-06-06,4.253333,4.266667,4.160000,4.173333,2.463357,210938
1996-06-07,4.120000,4.213333,4.120000,4.213333,2.486967,225938
1996-06-10,4.186667,4.213333,4.173333,4.186667,2.471227,106875
1996-06-11,4.213333,4.240000,4.133333,4.160000,2.455487,289688
1996-06-12,4.146667,4.200000,4.080000,4.080000,2.408266,152813
1996-06-13,4.066667,4.120000,4.053333,4.093333,2.416135,131250
1996-06-14,4.080000,4.080000,4.013333,4.053333,2.392525,158438
1996-06-17,4.026667,4.120000,4.000000,4.080000,2.408266,181875
1996-06-18,4.080000,4.133333,4.053333,4.053333,2.392525,129375
