Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,4.062500,4.312500,4.062500,4.187500,3.776449,1179200
1996-01-03,4.250000,4.343750,4.187500,4.234375,3.818722,1439200
1996-01-04,4.281250,4.312500,4.187500,4.203125,3.790538,1351200
1996-01-05,4.187500,4.218750,4.156250,4.218750,3.804631,1267200
1996-01-08,4.218750,4.218750,4.156250,4.156250,3.748266,293600
1996-01-09,4.187500,4.187500,3.937500,4.015625,3.621444,824800
1996-01-10,3.968750,4.031250,3.968750,3.968750,3.579171,392800
1996-01-11,4.031250,4.125000,4.031250,4.109375,3.705993,1433600
1996-01-12,4.156250,4.156250,4.062500,4.093750,3.691901,795200
1996-01-15,4.062500,4.093750,4.062500,4.078125,3.677810,1601600
1996-01-16,4.093750,4.125000,4.031250,4.125000,3.720083,993600
1996-01-17,4.062500,4.468750,4.031250,4.375000,3.945543,3550400
1996-01-18,4.531250,4.593750,4.375000,4.375000,3.945543,1651200
1996-01-19,4.468750,4.468750,4.218750,4.265625,3.846904,948800
1996-01-22,4.312500,4.468750,4.218750,4.468750,4.030091,1376000
1996-01-23,4.468750,4.562500,4.375000,4.515625,4.072364,1913600
1996-01-24,4.468750,4.531250,4.437500,4.453125,4.016000,573600
1996-01-25,4.500000,4.500000,4.406250,4.468750,4.030091,392000
1996-01-26,4.468750,4.531250,4.437500,4.437500,4.001907,439200
1996-01-29,4.437500,4.531250,4.437500,4.500000,4.058272,518400
1996-01-30,4.468750,4.656250,4.468750,4.656250,4.199185,715200
1996-01-31,4.718750,4.750000,4.593750,4.656250,4.199185,1452000
1996-02-01,4.656250,4.656250,4.562500,4.593750,4.142819,243200
1996-02-02,4.656250,4.656250,4.531250,4.531250,4.086455,217600
1996-02-05,4.593750,4.593750,4.500000,4.500000,4.058272,195200
1996-02-06,4.500000,4.562500,4.437500,4.531250,4.086455,753600
1996-02-07,4.531250,4.718750,4.531250,4.687500,4.227369,1792800
1996-02-08,4.687500,4.687500,4.562500,4.625000,4.171001,1485600
1996-02-09,4.531250,4.625000,4.531250,4.625000,4.171001,2449600
1996-02-12,4.625000,4.625000,4.531250,4.562500,4.114638,547200
1996-02-13,4.593750,4.656250,4.406250,4.468750,4.030091,1354400
1996-02-14,4.500000,4.531250,4.406250,4.437500,4.001907,696000
1996-02-15,4.437500,4.468750,4.312500,4.406250,3.973725,968000
1996-02-16,4.343750,4.406250,4.312500,4.406250,3.973725,432800
1996-02-20,4.343750,4.375000,4.281250,4.312500,3.889178,256800
1996-02-21,4.312500,4.500000,4.312500,4.406250,3.973725,1849600
1996-02-22,4.468750,4.554688,4.406250,4.546875,4.100546,883200
1996-02-23,4.593750,4.593750,4.500000,4.562500,4.114638,511200
1996-02-26,4.500000,4.562500,4.468750,4.500000,4.058272,599200
1996-02-27,4.531250,4.656250,4.468750,4.562500,4.114638,1725600
1996-02-28,4.625000,4.875000,4.562500,4.843750,4.368280,2312800
1996-02-29,4.812500,4.843750,4.750000,4.750000,4.283733,1038400
1996-03-01,4.843750,4.843750,4.656250,4.656250,4.199185,539200
1996-03-04,4.750000,4.843750,4.656250,4.781250,4.311915,879200
1996-03-05,4.750000,4.906250,4.750000,4.875000,4.396461,1094400
1996-03-06,4.875000,4.875000,4.781250,4.781250,4.311915,1000800
1996-03-07,4.781250,4.843750,4.656250,4.656250,4.199185,322400
1996-03-08,4.656250,4.718750,4.593750,4.656250,4.199185,588000
1996-03-11,4.625000,4.718750,4.593750,4.718750,4.255551,363200
1996-03-12,4.687500,4.687500,4.593750,4.625000,4.171001,494400
1996-03-13,4.687500,4.687500,4.625000,4.656250,4.199185,107200
1996-03-14,4.625000,4.718750,4.625000,4.656250,4.199185,238400
1996-03-15,4.656250,4.812500,4.656250,4.750000,4.283733,1724800
1996-03-18,4.750000,4.796875,4.750000,4.781250,4.311915,971200
