Year,Average Annual Price
1996,4.925833333333333
1997,5.16925
1998,5.071416666666667
1999,5.239583333333333
2000,5.40875
2001,5.961583333333333
2002,6.232166666666665
2003,6.389916666666667
2004,6.9214166666666666
2005,7.768166666666666
2006,7.8972500000000005
2007,8.550749999999999
2008,9.45375
2009,10.074499999999999
2010,9.651166666666667
2011,9.9275
2012,10.27525
2013,10.720083333333335
2014,11.701583333333334
2015,12.252166666666668
2016,12.334249999999999
2017,12.655166666666668
2018,12.459083333333334
2019,12.056083333333333
2020,12.418083333333334
2021,13.186333333333332
