Series ID,Year,Period,Label,Value
APU0000720311,1995,M07,1995 Jul,4.675
APU0000720311,1995,M08,1995 Aug,4.449
APU0000720311,1995,M09,1995 Sep,4.468
APU0000720311,1995,M10,1995 Oct,4.564
APU0000720311,1995,M11,1995 Nov,4.780
APU0000720311,1995,M12,1995 Dec,4.471
APU0000720311,1996,M01,1996 Jan,4.962
APU0000720311,1996,M02,1996 Feb,4.578
APU0000720311,1996,M03,1996 Mar,5.031
APU0000720311,1996,M04,1996 Apr,4.661
APU0000720311,1996,M05,1996 May,5.096
APU0000720311,1996,M06,1996 Jun,4.703
APU0000720311,1996,M07,1996 Jul,5.118
APU0000720311,1996,M08,1996 Aug,4.775
APU0000720311,1996,M09,1996 Sep,5.188
APU0000720311,1996,M10,1996 Oct,4.870
APU0000720311,1996,M11,1996 Nov,5.226
APU0000720311,1996,M12,1996 Dec,4.902
APU0000720311,1997,M01,1997 Jan,5.266
APU0000720311,1997,M02,1997 Feb,4.933
APU0000720311,1997,M03,1997 Mar,5.337
APU0000720311,1997,M04,1997 Apr,4.933
APU0000720311,1997,M05,1997 May,5.320
APU0000720311,1997,M06,1997 Jun,4.992
APU0000720311,1997,M07,1997 Jul,5.406
APU0000720311,1997,M08,1997 Aug,5.022
APU0000720311,1997,M09,1997 Sep,5.414
APU0000720311,1997,M10,1997 Oct,5.132
APU0000720311,1997,M11,1997 Nov,5.275
APU0000720311,1997,M12,1997 Dec,5.001
APU0000720311,1998,M01,1998 Jan,5.302
APU0000720311,1998,M02,1998 Feb,4.790
APU0000720311,1998,M03,1998 Mar,5.306
APU0000720311,1998,M04,1998 Apr,4.764
APU0000720311,1998,M05,1998 May,5.322
APU0000720311,1998,M06,1998 Jun,4.808
APU0000720311,1998,M07,1998 Jul,5.319
APU0000720311,1998,M08,1998 Aug,4.801
APU0000720311,1998,M09,1998 Sep,5.370
APU0000720311,1998,M10,1998 Oct,4.823
APU0000720311,1998,M11,1998 Nov,5.274
APU0000720311,1998,M12,1998 Dec,4.978
APU0000720311,1999,M01,1999 Jan,5.287
APU0000720311,1999,M02,1999 Feb,5.103
APU0000720311,1999,M03,1999 Mar,5.262
APU0000720311,1999,M04,1999 Apr,5.129
APU0000720311,1999,M05,1999 May,5.302
APU0000720311,1999,M06,1999 Jun,5.093
APU0000720311,1999,M07,1999 Jul,5.384
APU0000720311,1999,M08,1999 Aug,5.141
APU0000720311,1999,M09,1999 Sep,5.385
APU0000720311,1999,M10,1999 Oct,5.166
APU0000720311,1999,M11,1999 Nov,5.452
APU0000720311,1999,M12,1999 Dec,5.171
APU0000720311,2000,M01,2000 Jan,5.458
APU0000720311,2000,M02,2000 Feb,5.256
APU0000720311,2000,M03,2000 Mar,5.471
APU0000720311,2000,M04,2000 Apr,5.156
APU0000720311,2000,M05,2000 May,5.530
APU0000720311,2000,M06,2000 Jun,5.273
APU0000720311,2000,M07,2000 Jul,5.547
APU0000720311,2000,M08,2000 Aug,5.290
APU0000720311,2000,M09,2000 Sep,5.573
APU0000720311,2000,M10,2000 Oct,5.400
APU0000720311,2000,M11,2000 Nov,5.539
APU0000720311,2000,M12,2000 Dec,5.412
APU0000720311,2001,M01,2001 Jan,5.630
APU0000720311,2001,M02,2001 Feb,5.400
APU0000720311,2001,M03,2001 Mar,5.594
APU0000720311,2001,M04,2001 Apr,5.479
APU0000720311,2001,M05,2001 May,6.153
APU0000720311,2001,M06,2001 Jun,6.452
APU0000720311,2001,M07,2001 Jul,5.955
APU0000720311,2001,M08,2001 Aug,6.390
APU0000720311,2001,M09,2001 Sep,6.068
APU0000720311,2001,M10,2001 Oct,6.385
APU0000720311,2001,M11,2001 Nov,6.085
APU0000720311,2001,M12,2001 Dec,5.948
APU0000720311,2002,M01,2002 Jan,6.232
APU0000720311,2002,M02,2002 Feb,6.039
APU0000720311,2002,M03,2002 Mar,6.236
APU0000720311,2002,M04,2002 Apr,5.989
APU0000720311,2002,M05,2002 May,6.334
APU0000720311,2002,M06,2002 Jun,6.128
APU0000720311,2002,M07,2002 Jul,6.591
APU0000720311,2002,M08,2002 Aug,6.007
APU0000720311,2002,M09,2002 Sep,6.552
APU0000720311,2002,M10,2002 Oct,6.000
APU0000720311,2002,M11,2002 Nov,6.512
APU0000720311,2002,M12,2002 Dec,6.166
APU0000720311,2003,M01,2003 Jan,6.495
APU0000720311,2003,M02,2003 Feb,6.050
APU0000720311,2003,M03,2003 Mar,6.451
APU0000720311,2003,M04,2003 Apr,5.998
APU0000720311,2003,M05,2003 May,6.597
APU0000720311,2003,M06,2003 Jun,6.060
APU0000720311,2003,M07,2003 Jul,6.899
APU0000720311,2003,M08,2003 Aug,6.089
APU0000720311,2003,M09,2003 Sep,6.894
APU0000720311,2003,M10,2003 Oct,6.179
APU0000720311,2003,M11,2003 Nov,6.574
APU0000720311,2003,M12,2003 Dec,6.393
APU0000720311,2004,M01,2004 Jan,6.737
APU0000720311,2004,M02,2004 Feb,6.275
APU0000720311,2004,M03,2004 Mar,6.583
APU0000720311,2004,M04,2004 Apr,6.284
APU0000720311,2004,M05,2004 May,6.763
APU0000720311,2004,M06,2004 Jun,7.338
APU0000720311,2004,M07,2004 Jul,6.763
APU0000720311,2004,M08,2004 Aug,7.490
APU0000720311,2004,M09,2004 Sep,6.864
APU0000720311,2004,M10,2004 Oct,7.534
APU0000720311,2004,M11,2004 Nov,6.816
APU0000720311,2004,M12,2004 Dec,7.610
APU0000720311,2005,M01,2005 Jan,7.206
APU0000720311,2005,M02,2005 Feb,7.812
APU0000720311,2005,M03,2005 Mar,7.166
APU0000720311,2005,M04,2005 Apr,7.858
APU0000720311,2005,M05,2005 May,7.188
APU0000720311,2005,M06,2005 Jun,8.378
APU0000720311,2005,M07,2005 Jul,7.178
APU0000720311,2005,M08,2005 Aug,8.543
APU0000720311,2005,M09,2005 Sep,7.271
APU0000720311,2005,M10,2005 Oct,8.575
APU0000720311,2005,M11,2005 Nov,7.600
APU0000720311,2005,M12,2005 Dec,8.443
